,lat,lon,diff_stationarity_pval,diff_acf_lag,diff_acf,diff_acf_pval,orig_stationarity_pval,orig_acf_lag,orig_acf,orig_acf_pval
1913,11.0,122.25,6.306176022618379e-12,12,0.08608965861288342,1.2726726211810255e-09,0.0007391479825822092,12,0.3672290196979943,1.926727771695394e-41
1914,11.0,122.5,2.118094932378331e-12,12,0.0834632825016065,4.732129052054525e-10,0.04869293471713812,12,0.4232254420598225,1.9296580217563502e-54
1915,11.0,122.75,1.4970611578692156e-11,12,0.039001067494230934,5.621376226031394e-10,0.03844159812326858,12,0.335718097257229,4.10742197560503e-36
1916,11.0,123.0,1.4822779001751552e-10,12,0.008781904669571461,8.289559423353745e-10,0.02449579313870996,12,0.23388664133480358,1.1457141190594332e-22
1917,11.0,123.25,5.455186153274393e-11,12,0.011136743449377762,4.36967969911973e-09,0.018095395079301465,12,0.30483444311754176,8.903790224779369e-32
1918,11.0,123.5,0.0004311168889450527,12,0.10243697372452433,1.4899815661687435e-11,0.000408501780550153,12,0.4882120872591417,9.767028967213497e-71
1919,11.0,123.75,0.0001687860292293646,12,0.15318886592761718,6.063140702700297e-15,0.0038167578050433593,12,0.5520050457724515,4.351919124589822e-90
1920,11.0,124.0,0.00014760513007874935,12,0.10296534939379848,6.34895402980861e-12,0.0048134827413232216,12,0.4949348256479651,1.814671056922512e-72
1921,11.0,124.25,8.993572416026994e-05,12,0.028120301866011277,9.868167293717427e-11,0.005179894349185871,12,0.34732783541290857,1.9935490524888333e-38
1922,11.0,124.5,0.0003338093022175265,12,-0.04423434553333855,1.1425258676402315e-09,0.0003627763837193136,12,0.18753108429899362,2.3421895080102266e-20
1923,11.0,124.75,1.5623879890588536e-23,12,-0.06061129998283909,4.5258575487318944e-07,9.918914518183707e-06,12,0.27309034072038374,3.3310003018956085e-30
1924,11.0,125.0,5.964212395793672e-24,12,-0.0240427589532613,2.494210532441949e-11,2.695671651232216e-05,12,0.4628099461862948,8.552231217184438e-80
1925,11.0,125.25,1.1019261848405892e-24,12,0.039512359728210406,3.106527559125628e-16,0.007845299812865752,12,0.5525826640229805,2.540746377521014e-105
1926,11.0,125.5,2.756444815048659e-28,12,0.04037980093539387,1.4608032913102997e-14,3.293641225687641e-05,12,0.5363555922361976,5.940323533666506e-94
1927,11.0,125.75,2.4270994901769087e-28,12,0.0054473994548356885,1.780542031519277e-11,5.294584912104736e-05,12,0.4721839533203821,2.6574477287927854e-72
1928,11.0,126.0,8.604127832971156e-28,12,-0.020841722240026728,1.2082664180007621e-09,4.398587624300998e-05,12,0.416857316155528,1.6998621333458095e-56
1929,11.0,126.25,1.2367751927576806e-27,12,-0.028495288386407885,3.041545020085002e-09,3.709130264923489e-05,12,0.4058781794882742,4.2823371408531175e-54
1930,11.0,126.5,1.5312511774373919e-27,12,-0.0280663496374616,4.208438381000692e-09,3.4711045584464684e-05,12,0.4086489276394748,6.402879129349504e-55
1931,11.0,126.75,1.5628084426513903e-27,12,-0.02479041174358257,5.090772130501403e-09,3.820093055280379e-05,12,0.41752379032645215,1.8745370865635857e-57
1932,11.0,127.0,1.5587489526875156e-27,12,-0.016769571076034218,5.155666595879289e-09,4.0266191454826335e-05,12,0.4311679527874963,4.42720604331927e-61
