Route_Name,Franchise_Count,Authorized_Units
Pasig - Taytay via Pasig Market,32,34
Pasig(TP) - Taytay,44,51
Pasig(TP) - Taytay via C. Raymundo Ave,2,2
Philcoa - Rodriguez (Montalban),7,7
Philcoa - Rodriguez Montbn via Comwealth,4,5
Plaridel - BBB(Val) via McArthur Hi-way,1,9
Polo - Sangandaan via Tenejeros,3,6
Queens Row Vill - Talon via M Alvarez,15,15
Quezon City Hall-San Rafael(Rod)via Maly,8,11
Robinson's Galleria - Tanay via Antipolo,7,15
Rodriguez (Marikina)- San Rafael,1,1
Rodriguez - San Rafael,4,4
Rodriguez(Relocn)-CommMrketViaGrvlpit&vv,9,12
Rodriguez(Rizal) - Litex Market viaLitex,37,51
Rodriguez-Quezon City Hall via Mali,2,2
Rosario Jct - San Juan via Pinaglabanan,1,1
Rosario Jct-San Juan Taytay via Sandoval,1,1
Samp(Tanay)-Mayamot(AntploCty)via Pnugay,1,4
San Juan(Pinaglban)-SnJuan Tayty Resetmt,11,12
San Rafael(Rizal)-Quezon City Hall,26,47
Sapang Palay - Jordan via Quirino H-way,1,1
Silang - Zapote (Las Pinas),11,11
SM Ayala (Greenbelt) - Bahayang Pag-asa,4,4
SM Molino-SM Tunasan(Muntinlupa),1,15
SnRafael-Philcoa viaConstitutionalQCHall,1,4
Soldiers Hills 2 - LPiNas via M.Alvares,2,2
Soldiers Hills 2 - Talon via M Alvarez,15,15
Soldiers Hills(Ph4)-Talon via M Alvarez,14,14
Tagaytay - SM Mall of Asia,1,1
Tagaytay City - Zapote (Las Pinas),3,3
Talon - Molino Pagasa via Marcos Alvarez,48,51
Talon-Molino Pagasa via Marcos A Paliprn,4,30
Tanza - Zapote (Las PiNas),8,8
Tanza - Zapote via Las PiNas,1,1
Taytay - Rosario,1,1
"Taytay-SMMall(C-5,Pas)viaSJuanReclmFldwy",2,8
Trece Martirez - Zapote (Las PiNas),3,4
